City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Tuatapere,99,NZ,1600371539,81,-46.13,167.68,3.89,3.58
1,Atuona,39,PF,1600371825,78,-9.8,-139.03,25.34,9.56
2,Gallup,1,US,1600371728,15,35.53,-108.74,26.0,2.6
3,Isangel,75,VU,1600371825,94,-19.55,169.27,21.0,4.3
4,Nouadhibou,79,MR,1600371825,67,20.93,-17.03,26.59,8.31
5,Estrela,100,BR,1600371826,90,-28.06,-50.94,18.17,1.5
6,Vanimo,56,PG,1600371826,83,-2.67,141.3,25.19,2.58
7,Sitka,1,US,1600371826,71,57.05,-135.33,13.0,1.34
8,Hermanus,53,ZA,1600371826,90,-34.42,19.23,10.0,0.45
9,George Town,20,MY,1600371826,94,5.41,100.34,27.0,2.1
10,Sorong,100,ID,1600371826,83,-0.88,131.25,25.52,1.74
11,Aljezur,13,PT,1600371826,71,37.32,-8.8,18.89,0.89
12,Yellowknife,75,CA,1600371826,61,62.46,-114.35,8.0,4.6
13,Aksu,0,CN,1600371827,26,41.12,80.26,19.75,1.69
14,Ushuaia,75,AR,1600371683,59,-54.8,-68.3,3.0,15.4
15,Busselton,0,AU,1600371827,78,-33.65,115.33,8.33,1.79
16,Bredasdorp,49,ZA,1600371827,87,-34.53,20.04,10.0,2.1
17,Vila Franca do Campo,20,PT,1600371827,64,37.72,-25.43,21.0,5.1
18,Avarua,100,CK,1600371827,64,-21.21,-159.78,23.0,3.1
19,Hithadhoo,78,MV,1600371828,78,-0.6,73.08,28.09,4.91
20,Coquimbo,2,CL,1600371828,77,-29.95,-71.34,15.0,6.2
21,Rikitea,99,PF,1600371828,82,-23.12,-134.97,22.13,10.29
22,Severo-Kuril'sk,100,RU,1600371828,87,50.68,156.12,12.07,3.23
23,Cape Town,37,ZA,1600371617,93,-33.93,18.42,14.44,2.6
24,Dikson,100,RU,1600371829,82,73.51,80.55,7.89,5.38
25,Rosarito,75,MX,1600371829,11,32.33,-117.03,35.0,4.1
26,Talara,4,PE,1600371643,64,-4.58,-81.27,23.0,6.2
27,Castro,100,BR,1600371829,64,-24.79,-50.01,20.2,4.67
28,Albany,100,US,1600371756,66,42.6,-73.97,21.67,2.95
29,Port Elizabeth,0,ZA,1600371829,93,-33.92,25.57,11.0,0.5
30,Evensk,0,RU,1600371830,73,61.95,159.23,4.14,4.14
31,Babylon,75,US,1600371830,69,40.7,-73.33,23.89,4.6
32,Barrow,90,US,1600371830,81,71.29,-156.79,7.0,2.6
33,Saint George,1,US,1600371789,13,37.1,-113.58,29.0,2.1
34,Maraã,100,BR,1600371830,53,-1.83,-65.37,32.42,0.75
35,Jalu,0,LY,1600371830,54,29.03,21.55,27.23,8.0
36,Mahébourg,75,MU,1600371830,73,-20.41,57.7,22.0,6.7
37,Bandarbeyla,13,SO,1600371831,84,9.49,50.81,24.77,9.11
38,Vestmannaeyjar,40,IS,1600371831,87,63.44,-20.27,9.0,7.7
39,Mataura,90,NZ,1600371831,72,-46.19,168.86,4.39,3.99
40,Kärdla,60,EE,1600371831,65,59.0,22.75,11.0,11.14
41,Bumba,0,CD,1600371831,91,2.18,22.47,22.88,0.97
42,Port Alfred,31,ZA,1600371831,72,-33.59,26.89,15.18,2.94
43,Saint Paul Harbor,40,US,1600371831,58,57.79,-152.41,13.0,7.7
44,Erzin,0,TR,1600371832,69,36.96,36.2,28.0,6.2
45,Vaini,75,TO,1600371832,88,-21.2,-175.2,21.0,5.1
46,Takoradze,2,GH,1600371832,87,4.88,-1.76,23.96,3.9
47,Jamestown,40,US,1600371832,68,42.1,-79.24,20.0,2.1
48,Coari,69,BR,1600371832,38,-4.08,-63.14,35.08,0.49
49,Nikolskoye,90,RU,1600371832,87,59.7,30.79,10.0,5.0
50,Athabasca,100,CA,1600371574,56,54.72,-113.29,14.99,1.84
51,Gandajika,32,CD,1600371832,57,-6.75,23.95,26.22,0.9
52,Idrinskoye,100,RU,1600371833,75,54.37,92.14,12.94,2.57
53,Dubrovka,0,RU,1600371833,90,53.69,33.51,7.71,5.41
54,Saint-Philippe,50,RE,1600371833,63,-21.36,55.77,21.0,1.5
55,Lavrentiya,67,RU,1600371833,83,65.58,-171.0,6.71,3.88
56,Kapaa,1,US,1600371833,66,22.08,-159.32,29.0,5.1
57,Kyabram,94,AU,1600371833,86,-36.32,145.05,15.56,3.1
58,Xiuyan,0,CN,1600371833,68,40.29,123.27,10.81,1.47
59,Puerto Ayora,20,EC,1600371834,61,-0.74,-90.35,25.0,10.3
60,Carnarvon,0,AU,1600371834,50,-24.87,113.63,13.0,4.1
61,Thompson,40,CA,1600371834,42,55.74,-97.86,7.0,5.1
62,Binzhou,0,CN,1600371834,64,37.37,118.02,17.22,3.62
63,Chui,0,UY,1600371834,64,-33.7,-53.46,19.23,3.12
64,Pevek,100,RU,1600371834,91,69.7,170.31,1.17,3.77
65,Atasū,96,KZ,1600371835,74,48.68,71.64,11.24,9.11
66,Guarda,65,PT,1600371835,74,40.54,-7.27,16.11,1.34
67,Mount Gambier,90,AU,1600371835,81,-37.83,140.77,10.0,4.1
68,Valdivia,75,CL,1600371835,81,-39.81,-73.25,12.0,3.6
69,Aripuanã,87,BR,1600371835,24,-9.17,-60.63,36.39,0.52
70,Punta Arenas,40,CL,1600371730,60,-53.15,-70.92,5.0,12.9
71,Torbay,75,CA,1600371835,68,47.67,-52.73,19.0,14.4
72,Saint-Pierre,5,RE,1600371774,63,-21.34,55.48,19.44,1.5
73,Olafsvik,46,IS,1600371835,80,64.89,-23.71,9.14,9.8
74,Clyde River,75,CA,1600371836,60,70.47,-68.59,5.0,5.1
75,Fortuna,20,US,1600371791,78,40.6,-124.16,22.0,6.2
76,Igurubi,100,TZ,1600371836,29,-4.0,33.7,23.34,3.91
77,Beloha,0,MG,1600371836,90,-25.17,45.05,19.36,2.05
78,Kavieng,100,PG,1600371836,77,-2.57,150.8,27.92,4.88
79,Dawlatabad,0,AF,1600371836,45,36.41,64.91,14.33,1.27
80,João Pinheiro,0,BR,1600371836,21,-17.74,-46.17,31.3,1.48
81,Linjiang,31,CN,1600371836,87,41.81,126.91,9.64,1.79
82,Agüimes,100,ES,1600371837,69,27.91,-15.45,25.56,9.8
83,Pangai,75,TO,1600371837,83,-19.8,-174.35,24.0,6.2
84,Kulynychi,94,UA,1600371837,43,49.98,36.38,21.0,4.0
85,Lompoc,1,US,1600371837,64,34.64,-120.46,22.0,5.1
86,Huainan,11,CN,1600371837,93,32.63,117.0,16.45,2.42
87,Bonthe,25,SL,1600371837,88,7.53,-12.51,25.34,2.64
88,Saldanha,0,ZA,1600371837,82,-33.01,17.94,13.0,2.1
